,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2,oscar_win,book2,G,NC17,NR,PG,PG-13,R
730,2011,I Muppet,The Muppets,2012-02-03,"Adventure, Comedy, Family",120,USA,Walt Disney Pictures,7.1,75.0,PG,,$,165184237,$,45000000.0,1,0,0,0,0,1,0,0
737,2011,L'arte di vincere,Moneyball,2012-01-27,"Biography, Drama, Sport",133,USA,Columbia Pictures,7.6,87.0,PG-13,,$,110206216,$,50000000.0,0,0,0,0,0,0,1,0
738,2011,Solo per vendetta,Seeking Justice,2011-09-02,"Action, Crime, Drama",105,USA,Endgame Entertainment,6.2,38.0,R,,$,14089528,$,17000000.0,0,0,0,0,0,0,0,1
739,2011,Cars 2,Cars 2,2011-06-22,"Animation, Adventure, Comedy",106,USA,Walt Disney Pictures,6.1,57.0,G,,$,559852396,$,200000000.0,0,0,1,0,0,0,0,0
741,2011,Limitless,Limitless,2011-04-15,"Sci-Fi, Thriller",105,USA,Relativity Media,7.4,59.0,PG-13,,$,161849455,$,27000000.0,0,0,0,0,0,0,1,0
742,2011,Il signore dello zoo,Zookeeper,2011-08-05,"Comedy, Family, Fantasy",102,USA,Columbia Pictures,5.2,30.0,PG,,$,169852759,$,80000000.0,0,0,0,0,0,1,0,0
744,2011,Ironclad,Ironclad,2011-03-04,"Action, Drama, History",121,"UK, Switzerland, USA, Germany",Mythic International Entertainment,6.1,42.0,R,,$,5151023,$,25000000.0,0,0,0,0,0,0,0,1
746,2011,Pariah,Pariah,2011-01-20,Drama,86,USA,Chicken And Egg Pictures,7.2,79.0,R,,$,769552,$,450000.0,0,0,0,0,0,0,0,1
747,2011,The Future,The Future,2011-08-17,"Drama, Fantasy, Romance",91,"France, Germany, USA",GNK Productions,6.2,67.0,R,,$,887172,$,1000000.0,0,0,0,0,0,0,0,1
749,2011,Sua Maestà,Your Highness,2011-04-08,"Adventure, Comedy, Fantasy",102,USA,Universal Pictures,5.5,31.0,R,,$,28013733,$,49900000.0,0,0,0,0,0,0,0,1
751,2011,...e ora parliamo di Kevin,We Need to Talk About Kevin,2012-02-17,"Drama, Mystery, Thriller",112,"UK, USA",BBC Films,7.5,68.0,R,We Need to Talk About Kevin,$,9232318,$,7000000.0,0,1,0,0,0,0,0,1
