,title,original_title,year,date_published,genre,duration,country,production_company,actors,avg_vote,budget,usa_gross_income,worlwide_gross_income,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book
297,Negro Buenos Aires,Negro Buenos Aires,2010,2010-11-13,Thriller,90,"Spain, Argentina",Zip Films,"Francesc Garrido, Daniel Faraldo, Natasha Yarovenko, Julieta Díaz, Jordi Dauder, Carlos Kaspar, Àngels Bassas, Nil Cardoner, Mercè Rovira, Ricardo Merkin, Claudio Rissi, Norman Briski, Ingrid Grudke, Jorge D'Elía, Daria Naskidayeva",4.8,,,,,,,,,
298,Incontrerai l'uomo dei tuoi sogni,You Will Meet a Tall Dark Stranger,2010,2010-12-03,"Comedy, Drama, Romance",98,"USA, Spain",Mediapro,"Gemma Jones, Pauline Collins, Anthony Hopkins, Rupert Frazer, Kelly Harrison, Naomi Watts, Josh Brolin, Freida Pinto, Eleanor Gecks, Antonio Banderas, Fenella Woolgar, Ewen Bremner, Christian McKay, Philip Glenister, Jonathan Ryland",6.3,$ 22000000,$ 3248246,$ 36015260,51.0,R,,,,
299,Dulha Mil Gaya,Dulha Mil Gaya,2010,2010-01-08,"Comedy, Drama, Romance",152,India,Insight Productions,"Sushmita Sen, Fardeen Khan, Ishita Sharma, Shah Rukh Khan, Suchitra Pillai, Howard Rosemeyer, Mohit Chadha, Parikshit Sahni, Beena Kak, Tara Sharma, Johnny Lever, Farid Currim, Pratap Faujdan, Mohammad S. Hyderabadwala, Randhir Kapoor",4.2,,,$ 155058,,,,,,
300,S.N.U.B!,S.N.U.B!,2010,2011-01-07,"Horror, Thriller",74,UK,Angry Badger Pictures,"Gary Mavers, Jonathan Moore, Harriet Thorpe, Alexandra Afryea, Ben Rowe, Alice Henley, Sara Lloyd-Gregory, Zoe Robinson, Charlie Watts, Tom Cotcher, Paul Bryant, Danny Tennant, Magda Rodriguez, Joseph Millson, John Adams",2.9,GBP 400000,,,,,,,,
301,Le village des ombres,Le village des ombres,2010,2010-11-17,"Horror, Mystery, Thriller",103,France,Kobayashi Communication,"Christa Théret, Bárbara Goenaga, Cyrille Thouvenin, Ornella Boulé, Axel Kiener, Jonathan Cohen, Théo Fernandez, Djédjé Apali, Gérard Dessalles, Ariane Aggiage, Jochen Hägele, Pierre-Marie Rochefort-Schneider, Lucia Bruxelle, Nicolas Marié, Richard Darbois",4.3,,,$ 98437,,,,,,
302,Stag Night of the Dead,Stag Night of the Dead,2010,2010-10-31,"Action, Comedy, Horror",81,UK,Zomball Films,"Sebastian Street, Sophie Lovell Anderson, Bruce Lawrence, James G. Fain, Joe Rainbow, Doug Grant, Rez Kempton, Jeff Rudom, Mike Busson, Brian Wheeler, Lily Brown Griffiths, Jemma Lewis, Gavin Hatcher, Alison Hartnett, Angela Bull",3.1,GBP 150000,,,,,,,,
303,Mr. Nice,Mr. Nice,2010,2010-10-08,"Biography, Comedy, Crime",121,"UK, Spain",Hindsight Media,"Rhys Ifans, Chloë Sevigny, David Thewlis, Luis Tosar, Crispin Glover, Omid Djalili, Christian McKay, Elsa Pataky, Jack Huston, Jamie Harris, Sara Sugarman, William Thomas, Andrew Tiernan, Kinsey Packard, Ania Sowinski",6.4,,,$ 1673840,60.0,NR,,,,
304,Teen Patti,Teen Patti,2010,2010-02-26,"Crime, Drama, Thriller",142,India,Hinduja Ventures,"Amitabh Bachchan, Madhavan, Shraddha Kapoor, Akkash Basnet, Siddharth Kher, Dhruv Ganesh, Saira Mohan, Vaibhav Talwar, Raima Sen, Ben Kingsley, Tinnu Anand, Kavin Dave, Ajay Devgn, Mariah Gomes, Pankaj Jha",4.1,INR 250000000,,$ 17311,,,,,,
305,Welcome to the Rileys,Welcome to the Rileys,2010,2011-11-18,Drama,110,"UK, USA",Samuel Goldwyn Films,"James Gandolfini, Kristen Stewart, Melissa Leo, Joe Chrest, Ally Sheedy, Tiffany Coty, Eisa Davis, Lance E. Nichols, Peggy Walton-Walker, Sharon Landry, Kathy Lamkin, Kerry Cahill, Ken Hixon, Elliott Grey, David Jensen",7.0,,$ 158898,$ 361960,50.0,R,,,,
306,La fontana dell'amore,When in Rome,2010,2010-06-11,"Comedy, Romance",91,USA,Touchstone Pictures,"Kristen Bell, Josh Duhamel, Anjelica Huston, Danny DeVito, Will Arnett, Jon Heder, Dax Shepard, Alexis Dziena, Kate Micucci, Peggy Lipton, Luca Calvani, Keir O'Donnell, Bobby Moynihan, Kristen Schaal, Judith Malina",5.6,$ 55000000,$ 32680633,$ 43053376,25.0,PG-13,,,,
307,Lope,Lope,2010,2010-09-03,"Biography, Drama, History",106,"Spain, Brazil, France",Antena 3 Films,"Alberto Ammann, Leonor Watling, Pilar López de Ayala, Ramon Pujol, Antonio de la Torre, Juan Diego, Luis Tosar, Antonio Dechent, Selton Mello, Miguel Ángel Muñoz, Carla Nieto, Puchi Lagarde, Sônia Braga, Félix Cubero, Joaquín Notario",6.0,,,$ 5207679,,,,,,
308,Kung Fu Magoo,Kung Fu Magoo,2010,2010-05-11,"Animation, Action, Comedy",79,"Mexico, USA",Anima Estudios,"Cole Sprouse, Dylan Sprouse, Alyson Stoner, Chris Parnell, Tom Kenny, Rodger Bumpass, Maile Flanagan, April Stewart, Jim Ward, Candi Milo, Wally Wingert, Ryan Bollman, Bob Joles, Rob Tinkler, Hope Levy",5.0,,,,,,,,,
309,Peacock,Peacock,2010,2010-04-20,"Drama, Thriller",90,USA,Cornfield Productions,"Cillian Murphy, Ellen Page, Susan Sarandon, Josh Lucas, Bill Pullman, Graham Beckel, Keith Carradine, Eden Bodnar, Chris Carlson, Flynn Milligan, Virginia Newcomb, Jaimi Paige, Nathan Christopher, Richard Latch, Tate Hustedt",6.2,,,,,,,,,
310,Il mio nome è Khan,My Name Is Khan,2010,2010-11-26,Drama,165,"India, USA, United Arab Emirates",Dharma Productions,"Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty, Benny Nieves, Christopher B. Duncan, Jimmy Sheirgill, Sonya Jehan, Parvin Dabas, Arjun Mathur, Sugandha Garg, Zarina Wahab, S.M. Zaheer, Arif Zakaria, Vinay Pathak",8.0,$ 12000000,$ 4018771,$ 42345360,50.0,PG-13,,,,
311,Toonpur Ka Superrhero,Toonpur Ka Superrhero,2010,2010-12-24,"Animation, Action, Adventure",95,India,Big Screen Entertainment,"Ajay Devgn, Kajol, Ameya Pandya, Chinky Jaiswal, Tanuja, Sanjay Mishra, Sanjay Dutt, Mukesh Tiwari, Raza Murad, Sherveer Vakil, Sameer Hadker, Delnaaz Irani, Chunky Pandey, Vivek Vaswani",4.2,,,$ 17505,,,,,,
312,The Hunter,Shekarchi,2010,2011-06-17,"Drama, Thriller",90,"Iran, Germany",Aftab Negaran Productions,"Rafi Pitts, Mitra Hajjar, Malek Jahan Khazai, Ossta Shah Tir, Abbas Hassanzadeh, Javad Nazari, Ismaïl Amani, Said Hajmohammadi, Arash Faraghinejad, Ali Nicksaulat, Naser Madahi, Sara Kamrani, Mansour Dowlatmand, Hassan Ghalenoi, Shoja'edin Ghanaei",6.3,$ 1500000,,$ 28608,76.0,,,,,
