,year,title,original_title,date_published,genre,duration,country,production_company,avg_vote,metascore,content_rating,oscar_name,oscar_category,oscar_winner,book,worlwide_gross_income1,worlwide_gross_income2,budget1,budget2
8433,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8434,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8435,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8436,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8437,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8438,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Jon Taylor, Frank A. Montaño, Randy Thom and Chris Duesterdiek",SOUND MIXING,False,The Revenant,$,532950503,$,135000000
8439,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8440,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8441,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8442,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8443,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8444,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8445,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8446,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8447,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8448,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8449,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8450,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
8451,2015,Revenant - Redivivo,The Revenant,2016-01-16,"Action, Adventure, Drama",156,"USA, Hong Kong, Taiwan",Regency Enterprises,8.0,76.0,R,"Rich McBride, Matthew Shumway, Jason Smith and Cameron Waldbauer",VISUAL EFFECTS,False,The Revenant,$,532950503,$,135000000
