title,year,date_published,genre,duration,country,language,director,writer,avg_vote,budget,worldwide_gross_income,metascore,content_rating,actors,genre_first,genre2,month,season,director_power,book_label,production_power,actor1,actor2,actor3,actor4,actor5,writer1,writer2,director1,director2,title,genre,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
The Counselor - Il procuratore,2013,2014-01-16,"Crime, Drama, Thriller",117,"UK, USA","English, Spanish, Dutch",Ridley Scott,Cormac McCarthy,5.3,25000000,71009334,48,R,"Michael Fassbender, Penelope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt, Dean Norris, John Leguizamo, Natalie Dormer, Goran Visnjic, César Aguirre, Daniel Holguin, Christopher Obi, Bruno Ganz, Paris Jefferson, Dar Dash, Richard Cabral, Rosie Perez, Alex Hafner, Andrea Deck, Sam Spruell, Toby Kebbell, Emma Rigby, Edgar Ramirez, Eben Young, Richard Brake, Barbara Durkin, Giannina Facio, Velibor Topic, Jose Juan Rodriguez, Alexander Biggie, Pablo Paredes, Cavassa Ventura, Frank Spano, Alejandro Marzal, Gerard Monaco, Fernando Cayo, Carlos Julio Molina, Ruben Blades, Donna Air, Marco Tulio Luna Ramirez, Lida Cardona, Roger Dalmases, Julien Vialon",Crime,"['Crime', 'Drama', 'Thriller']",Jan,Winter,1992259132,0,3220110091,Michael Fassbender, Penelope Cruz, Cameron Diaz, Javier Bardem, Brad Pitt,Cormac McCarthy,,Ridley Scott,,Shadowhunters - Citt di ossa,"Action, Adventure, Fantasy",95396573,60000000,158.99428833333334,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Questione di tempo,2013,2013-11-07,"Comedy, Drama, Fantasy",123,UK,English,Richard Curtis,Richard Curtis,7.8,12000000,87100449,55,R,"Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hughes, Margot Robbie, Lydia Wilson, Lindsay Duncan, Tom Hollander, Vanessa Kirby, Joshua McGuire, Richard Cordery, Will Merrick (II), Clemmie Dugdale, Harry Hadden-Paton, Mitchell Mullen, Lisa Eichhorn, Jenny Rainsford, Natasha Powell, Mark Healy, Ben Benson, Philip Voss, Tom Godwin, Pal Aron, Catherine Steadman, Andrew Martin Yates, Verity Fullerton, Veronica Owings, Olivia Konten, Sarah Steinberg Heller, Jaiden, Dervish, Jacob Francis, Jago Freud, Ollie Phillips, Sophie Pond, Sophie Brown, Molly Seymour, Matilda Sturridge, Tom Stourton, Rebecca Chew, Jon West, Graham Richard Howgego, Kerrie Liane Studholme, Ken Hazeldine, Barbar Gough, Jon Boden, Charlie Curtis, Andy Brown",Comedy,"['Comedy', 'Drama', 'Fantasy']",Nov,Fall,87100449,0,87100449,Domhnall Gleeson, Rachel McAdams, Bill Nighy, Tom Hughes, Margot Robbie,Richard Curtis,,Richard Curtis,,Total Recall - Atto di forza,"Action, Adventure, Sci-Fi",198467168,125000000,158.7737344,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prince Avalanche,2013,2013-09-19,"Comedy, Drama",94,USA,"English, German",David Gordon Green,"David Gordon Green, Hafsteinn Gunnar Sigur�_son",6.3,725000,442313,73,R,"Paul Rudd, Emile Hirsch, Lance Le Gault, Gina Grande, Joyce Payne, Lynn Shelton, Larry Kretschmar, Enoch Moon, David L. Osborne Jr., Danni Wolcott, Morgan Calderoni, Savanna Porter, Juniper Smith",Comedy,"['Comedy', 'Drama']",Sep,Fall,329818513,0,442313,Paul Rudd, Emile Hirsch, Lance Le Gault, Gina Grande, Joyce Payne,David Gordon Green, Hafsteinn Gunnar Sigur�_son,David Gordon Green,,The Host,"Action, Adventure, Drama",63365859,40000000,158.4146475,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Run All Night - Una notte per sopravvivere,2015,2015-04-30,"Action, Crime, Drama",114,USA,English,Jaume Collet-Serra,Brad Ingelsby,6.6,50000000,71561644,59,R,"Liam Neeson, Ed Harris, Joel Kinnaman, Common, Boyd Holbrook, Bruce McGill, Holt McCallany, Vincent D'Onofrio, Lois Smith, Beau Knapp, Patricia Kalember, Daniel Stewart Sherman, Jimmy Martinez, Rasha Bukvic, Tony Naumovski, Lisa Branch, Aubrey Joseph, Giulia Cicciari, Carrington Meyer, Gavin-Keith Umeh, Malcolm Goodwin, Ernie Anastos, Al Trautwig, Roderick Hill, Ella June Conroy, Allison Byron, Andy Murray, John Cenatiempo, Adam Willett, Jessica Ecklund, Caden Draper, Jase David Draper, Jase Draper, Tony White, Dan Domingues, Ray Quinlan, Rene Cadet, Melissa Beech, Major West, Dorothi Fox, Devon O'Brien, Jelani Robert Joseph, Barrington Walters, Jr., Ryan Fame Quinlan, Gil Deeble, Ryan Quinlan, Michael Romeo Ruocco, Lauren Slakter, Adam Nelson, Dennis Duswalt, Jacqueline Murphy, Shamik Watson, Ed Buster Mass, Michael A. Rupolo, Jr., Genesis Rodriguez",Action,"['Action', 'Crime', 'Drama']",Apr,Spring,669124418,0,18585852641,Liam Neeson, Ed Harris, Joel Kinnaman, Common, Boyd Holbrook,Brad Ingelsby,,Jaume Collet-Serra,,Black Water,"Action, Drama, Thriller",7882387,5000000,157.64774,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tutte contro lui,2014,2014-06-19,"Comedy, Romance",109,USA,English,Nick Cassavetes,Melissa Stack,6.0,40000000,196710396,39,PG-13,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Nicki Minaj, Taylor Kinney, Don Johnson, Kenneth Maharaj, Alyshia Ochse, Víctor Cruz, Madison McKinley, David Thornton, Olivia Culpo, John ""BJ"" Bryant, Chelsea Turnbo, Brooke Stacy Mills, Raushanna Simmons, Cheryl Horne, Virginia Cassavetes, Nancy DeMayo, Nina Barry, Colin Bannon, Zac LaRoc, Jennifer Lee Crowl, Katherine Andreassen, Daniel Reton, Tony Costa, Alex Stebbins, Yueh Hwa Chan, Meki Saldana, Craig ""Radioman"" Castaldo, Sarah Tymon, Jude Donnelly, Gordon B. Andrews, Cucu Diamantes, Andrés Levin",Comedy,"['Comedy', 'Romance']",Jun,Summer,196710396,1,14699910437,Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Nicki Minaj,Melissa Stack,,Nick Cassavetes,,Non � romantico?,"Comedy, Fantasy, Romance",48791187,31000000,157.39092580645163,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Addicted - Desiderio irresistibile,2014,2014-10-10,"Drama, Thriller",106,USA,"Spanish, English",Bille Woodruff,"Christina Welsh, Ernie Barbarash",5.2,5000000,17534314,32,R,"Sharon Leal, Boris Kodjoe, Tasha Smith, Tyson Beckford, Emayatzy E. Corinealdi, Kat Graham, William Levy, Brandon Gonzales, Cameron Mills, Garrett Hines, Hunter Burke, John Newberg, Maria Howell, Omer Mughal",Drama,"['Drama', 'Thriller']",Oct,Fall,27949052,1,17534314,Sharon Leal, Boris Kodjoe, Tasha Smith, Tyson Beckford, Emayatzy E. Corinealdi,Christina Welsh, Ernie Barbarash,Bille Woodruff,,The Innkeepers,"Drama, Horror, Mystery",1178831,750000,157.17746666666667,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Before Midnight,2013,2013-10-31,"Drama, Romance",109,"USA, Greece","English, Greek, French",Richard Linklater,"Richard Linklater, Julie Delpy",7.9,3000000,20994648,94,R,"Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior, Charlotte Prior, Athina Rachel Tsangari, Walter Lassally, Xenia Kalogeropoulou, Ariane Labed, Yiannis Papadopoulos, Panos Koronis, Enrico Focardi, Manolis Goussias, Anouk Servera, Yota Argyropoulou, Serafeim Radis",Drama,"['Drama', 'Romance']",Oct,Fall,94771300,0,20994648,Ethan Hawke, Julie Delpy, Seamus Davey-Fitzpatrick, Jennifer Prior, Charlotte Prior,Richard Linklater, Julie Delpy,Richard Linklater,,The Gambler,"Crime, Drama, Thriller",39280992,25000000,157.123968,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Transcendence,2014,2014-04-17,"Action, Drama, Sci-Fi",119,"UK, China, USA",English,Wally Pfister,Jack Paglen,6.3,100000000,103039258,42,PG-13,"Johnny Depp, Paul Bettany, Rebecca Hall, Morgan Freeman, Kate Mara, Cole Hauser, Cillian Murphy, Clifton Collins Jr., Cory Hardrict, Falk Hentschel, Josh Stewart, Luce Rains, Fernando Chien, Steven Liu, Xander Berkeley, Lukas Haas, Wallace Langham, James Burnett, Sam Quinn, Sam Webb, Christopher Gartin, Olivia Taylor Dudley, Abraham Jallad, Lauren Sivan, Laramie Cooley, Nancy Jeris, Colin Jones, Dylan Kenin, Chad Brummett, Antonio Del Prete, Jon Kristian Moore, John Trejo, Matthew J. Berkovitz, Darren Patrick Leis, Donna D. Brown, Richard ""Daniel"" Williams, Zackeriah Carpenter, Christina Lancellotti, Kristen Rakes, Seth Adkins, Dean Bailey, Gary Dionne, Bruce Ellis Benson, Fred North, Rick Shuster",Action,"['Action', 'Drama', 'Sci-Fi']",Apr,Spring,103039258,0,1234450981,Johnny Depp, Paul Bettany, Rebecca Hall, Morgan Freeman, Kate Mara,Jack Paglen,,Wally Pfister,,Youth - La giovinezza,"Comedy, Drama, Music",23459358,14960785,156.80566226972715,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
La met di un sole giallo,2013,2014-03-21,"Drama, Romance",111,"Nigeria, UK",English,Biyi Bandele,"Chimamanda Ngozi Adichie, Biyi Bandele",6.1,3337713,306393,51,R,"Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose, John Boyega, Joseph Mawle, Onyeka Onwenu, Genevieve Nnaji, Babou Ceesay, Susan Wokoma, Jude Orhorha, Gloria Young, Tina Mba, Wale Ojo, Ayo Lijadu, Naya Amobi, Zack Orji, Kasper Michaels, Reginald Ofodile, Grainne Keenan, Paul Hampshire, Rob David, O.C. Ukeje, Paresh Behera, Jennifer Osammor, Hakeem Kae-Kazim, Damien Emmanuel Efa, Divine Emmanuel, Joy Emmanuel, Favour Asikpa, Olawale Obadeyi, Eme Awatt, Jerome Iniobong, Tony Effah, Kanayo Okani, Nicholas Burns, Eric Anderson, Alvin Ilenre, Louis Sainte Juste, Effiom Bassey, Christopher Udom, Ubong Bassey Inyang, Ita Asuquo, Banabas Monday Gimmy, Kingsley Bassey, Victor Umana",Drama,"['Drama', 'Romance']",Mar,Spring,306393,1,306393,Chiwetel Ejiofor, Thandie Newton, Anika Noni Rose, John Boyega, Joseph Mawle,Chimamanda Ngozi Adichie, Biyi Bandele,Biyi Bandele,,Proud Mary,"Action, Crime, Drama",21753365,14000000,155.38117857142856,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Madea protezione testimoni,2012,2012-06-29,"Comedy, Crime, Drama",114,USA,English,Tyler Perry,"Tyler Perry, Tyler Perry",4.9,20000000,66899242,42,PG-13,"Tyler Perry, Eugene Levy, Romeo Miller, Denise Richards, Doris Roberts, Devan Leos, Tom Arnold, Danielle Campbell, John Amos, Marla Gibbs, Shayne Anderson, Dean Balkwill, Nelson Bonilla, Frank Brennan, Eric Brooks, Jonny Clemson, Daniel Brule, John Paul George, Meg Gillentine, Jeff Joslin, Andy Koehler, Arin Logan, Eaddy Mays, Shane Partlow, Wanda Smith",Comedy,"['Comedy', 'Crime', 'Drama']",Jun,Summer,165303958,0,115233174,Tyler Perry, Eugene Levy, Romeo Miller, Denise Richards, Doris Roberts,Tyler Perry, Tyler Perry,Tyler Perry,,Green Zone,"Action, Drama, Thriller",154711438,100000000,154.711438,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Segreti di famiglia,2015,2016-06-23,Drama,109,"Norway, France, Denmark, USA","English, French",Joachim Trier,"Joachim Trier, Eskil Vogt",6.6,11000000,1160724,70,R,"Gabriel Byrne, Jesse Eisenberg, Devin Druid, Amy Ryan, Isabelle Huppert, David Strathairn, Rachel Brosnahan, Ruby Jerins, Megan Ketch, Russell Posner, Maryann Urbano, Donna Mitchell, Harry M. Ford, Leslie Lyles, Luke Robertson, Peter Mark Kendall, Sean Cullen, Marielle Holland, Bridget McGarry, Charlie Rose",Drama,['Drama'],Jun,Summer,1160724,0,1160724,Gabriel Byrne, Jesse Eisenberg, Devin Druid, Amy Ryan, Isabelle Huppert,Joachim Trier, Eskil Vogt,Joachim Trier,,Ghost in the Shell,"Action, Crime, Drama",169801921,110000000,154.36538272727273,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Closed Circuit,2013,2013-08-28,"Crime, Drama, Mystery",96,"UK, USA",English,John Crowley,Steven Knight,6.2,15000000,6331939,50,R,"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Kate Lock, Denis Moschitto, Katherine Press, Patrick Warner, Ryon Nixon, Daniel Tuite, Zora Bishop, Vicky Jam, Zahra Ahmadi, Steve North, Pinar Ogun, Hasancan Cifci, Andrew Havill, James Lowe, John Humphrys, David Sibley, Doug Allen, Jemma Powell, Isaac Hempstead Wright, Luing Andrews, Neil D'Souza, Barbora Bobulova, Dexter Galang, Jonathan Chan-Pensley, Matthew Cullum, Sam Woodward, Ben Loyd-Holmes, Robert McCafferty, Angus Wright, Adjoa Andoh, Adam Tedder, Munir Khairdin, Huseyin Poyraz, Hemi Yeroham, Baris Celiloglu",Crime,"['Crime', 'Drama', 'Mystery']",Aug,Summer,68408080,0,1681312200,Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff,Steven Knight,,John Crowley,,Million Dollar Arm,"Biography, Drama, Sport",38483455,25000000,153.93382,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Draft Day,2014,2014-04-11,"Drama, Sport",110,USA,English,Ivan Reitman,"Scott Rothman, Rajiv Joseph",6.8,25000000,29824199,54,PG-13,"Kevin Costner, Jennifer Garner, Denis Leary, Ellen Burstyn, Frank Langella, Chadwick Boseman, Terry Crews, Sean Combs, Josh Pence, Rosanna Arquette, Timothy Simons, David Ramsey, Wade Williams, Chi McBride, W. Earl Brown, Brad William Henke, Griffin Newman, Kevin Dunn, Patrick St. Esprit, Arian Foster, Christopher Cousins, Pat Healy, Laura Steinel, Wallace Langham, Chris Berman, Dave Donaldson, Mel Kiper, Jon Gruden, Deion Sanders, Mike Mayock, Tony Rizzo, Aaron Goldhammer, Jordan Harris, Richard Littlejohn, Enré Laney, Bernard Canepari, Christopher Mele, Leilani Barrett, Michael Cipiti, Justin Zabor, Aswan Harris, Alex Mack, Tom Welling, John Lee, Sam Elliott, Russ Brandon, Marc Honan, Erin Drake, Quincy Dunn-Baker, Gregory D. Rush, Tom Headlee, Commissioner Roger Goodell, Rich Eisen, Patrick Breen, David Dunn, John Hefferman, Rebecca Haarlow, Ray Lewis, Stephen Hill, James Brewer, Ramses Barden, Zoltan Mesko, Demario Davis, Margot Danis, Emil Boccio, Leanora Haselrig, Jennifer McMahan, Sophie Guest, Brenda Adrine, Edwina Hadley, Ken Fiore, Joel Bussert, Frank Supovitz, Sammy Choi, Jeff Darlington, Mike Florio, Alex Marvez, Seth Wickersham, Jim Brown, Bernie Kosar, Renee Monique Brown, Phil Taylor, TJ Ward, D'Qwell Jackson, Aaron Hill, Michael Fisher, Ivan Reitman, John Debney, Ali Bell, Scott Rothman, Michael Beugg, Rajiv Joseph, Jason Blumenfeld, Joe Medjuck, Michael G. Nathanson, Alex Plapinger, Gigi Pritzker",Drama,"['Drama', 'Sport']",Apr,Spring,179052276,0,5486083928,Kevin Costner, Jennifer Garner, Denis Leary, Ellen Burstyn, Frank Langella,Scott Rothman, Rajiv Joseph,Ivan Reitman,,Sherlock Gnomes,"Animation, Adventure, Comedy",90497778,59000000,153.38606440677967,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Sweetwater,2013,2013-10-11,"Thriller, Western",95,USA,English,"Logan Miller, Noah Miller","Logan Miller, Noah Miller",6.2,7000000,6147,38,R,"Ed Harris, January Jones, Jason Isaacs, Eduardo Noriega, Jason Aldean, Stephen Root, Luce Rains, Amy Madigan, Vic Browder, Dylan Kenin, Keith Meriweather, Logan Miller (II), Noah Miller, J.B. Tuttle, Chad Brummett, Kevin Wiggins, Kathy Lamkin, Ralph Alderman, David Manzanares, Mia Stallard, Jiji Hise, Jenny Gabrielle, Tucker Moore, Paul Harris, Alexandra Kalinowski, Robert Harvey, Laurence Chavez",Thriller,"['Thriller', 'Western']",Oct,Fall,6147,0,6147,Ed Harris, January Jones, Jason Isaacs, Eduardo Noriega, Jason Aldean,Logan Miller, Noah Miller,Logan Miller, Noah Miller,Matrimonio in famiglia,"Comedy, Romance",21409028,14000000,152.92162857142856,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Home - A casa,2015,2015-03-26,"Animation, Adventure, Comedy",94,USA,"English, French",Tim Johnson,"Tom J. Astle, Matt Ember",6.6,135000000,386041607,55,PG,"Jim Parsons, Rihanna, Jennifer Lopez, Steve Martin, Matt Jones, April M. Lawrence, Lisa Stewart, April Winchell, Brian Stepanek, Stephen Kearin, Gavin Greenaway",Animation,"['Animation', 'Adventure', 'Comedy']",Mar,Spring,386041607,1,9703091422,Jim Parsons, Rihanna, Jennifer Lopez, Steve Martin, Matt Jones,Tom J. Astle, Matt Ember,Tim Johnson,,Charlie's Angels,"Action, Adventure, Comedy",73279888,48000000,152.66643333333334,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Oltre i confini del male - Insidious 2,2013,2013-10-10,"Horror, Mystery, Thriller",106,"USA, Canada",English,James Wan,"Leigh Whannell, James Wan",6.6,5000000,161919318,40,PG-13,"Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye, Barbara Hershey, Leigh Whannell, Jocelin Donahue, Lindsay Seim, Danielle Bisutti, Andrew Astor, Steve Coulter, Tom Fitzpatrick, Garrett Ryan, Hank Harris, Tyler James Griffin, J LaRose, Angus Sampson",Horror,"['Horror', 'Mystery', 'Thriller']",Oct,Fall,901370924,0,411902550,Patrick Wilson, Rose Byrne, Ty Simpkins, Lin Shaye, Barbara Hershey,Leigh Whannell, James Wan,James Wan,,La ragazza del dipinto,"Biography, Drama, Romance",16607575,10900000,152.36307339449542,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Il domani tra di noi,2017,2017-11-23,"Action, Adventure, Drama",112,USA,English,Hany Abu-Assad,"Chris Weitz, J. Mills Goodloe",6.4,35000000,62832209,48,PG-13,"Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney",Action,"['Action', 'Adventure', 'Drama']",Nov,Fall,62832209,0,598263419,Idris Elba, Kate Winslet, Beau Bridges, Dermot Mulroney,,Chris Weitz, J. Mills Goodloe,Hany Abu-Assad,,(S)ex list,"Comedy, Romance",30426096,20000000,152.13048,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Don Jon,2013,2013-11-28,"Comedy, Drama, Romance",90,USA,English,Joseph Gordon-Levitt,Joseph Gordon-Levitt,6.5,3000000,39439355,66,R,"Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza, Brie Larson, Rob Brown (VI), Glenne Headly, Jeremy Luke, Italia Ricci, Lindsey Broad, Amanda Perez, Sarah Dumont, Sloane Avery, Loanne Bishop, Paul Ben-Victor, Arin Babaian, Arielle Reitsma, Rizwan Manji, Eva Mah, Nina Agdal, Jason Burnham, Johnny Ferrara, Tiffany Pulvino, Olia Voronkova, Sonnie Brown, Antoinette Kalaj, Elena Kim, Tanya Mityushina, Craig Marks, Anne Hathaway, Channing Tatum, Meagan Good, Cuba Gooding Jr.",Comedy,"['Comedy', 'Drama', 'Romance']",Nov,Fall,39439355,0,65574209,Joseph Gordon-Levitt, Scarlett Johansson, Julianne Moore, Tony Danza, Brie Larson,Joseph Gordon-Levitt,,Joseph Gordon-Levitt,,The Eagle,"Action, Adventure, Drama",37989684,25000000,151.95873600000002,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Velvet - Il prezzo dell'amore,2013,2013-12-10,Drama,84,USA,English,Neil LaBute,Neil LaBute,5.8,2000000,6420,54,R,"Stanley Tucci, Alice Eve",Drama,['Drama'],Dec,Winter,49057306,0,6420,Stanley Tucci, Alice Eve,,,,Neil LaBute,,Neil LaBute,,Il coraggio della verit - The Hate U Give,"Crime, Drama",34934009,23000000,151.8869956521739,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Joker - Wild Card,2015,2015-08-05,"Action, Crime, Drama",92,USA,English,Simon West,"William Goldman, William Goldman",5.6,30000000,6738764,40,R,"Jason Statham, Sofía Vergara, Milo Ventimiglia, Stanley Tucci, Michael Angarano, Anne Heche, Hope Davis, Dominik García-Lorido, Max Casella, Jason Alexander, Chris Browning, François Vincentelli, Davenia McFadden, Michael Papajohn, Jean Claude Leuyer, Greice Santo, Freddie Poole, Nick Epper, Lara Grice, Darcy Allen, Shanna Forrestall, Boyana Balta, Lee Perkins, Stephanie Jordan, Allison Wirges, Kyle Clements, Billy Tilk, Pete Antico, Travis Merindino, Clayton Barber, Matthew Willig",Action,"['Action', 'Crime', 'Drama']",Aug,Summer,415260230,0,4736994746,Jason Statham, Sofía Vergara, Milo Ventimiglia, Stanley Tucci, Michael Angarano,William Goldman, William Goldman,Simon West,,All Is Lost - Tutto � perduto,"Action, Adventure, Drama",13627519,9000000,151.41687777777776,0.0,2.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rampage: Furia animale,2018,2018-04-12,"Action, Adventure, Sci-Fi",107,USA,"English, American Sign Language",Brad Peyton,"Ryan Engle, Carlton Cuse",6.1,120000000,428028233,45,PG-13,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan, Jake Lacy, Joe Manganiello, Marley Shelton, P.J. Byrne, Demetrius Grosse, Jack Quaid, Breanne Hill, Matt Gerald, Will Yun Lee, Urijah Faber, Bruce Blackshear",Action,"['Action', 'Adventure', 'Sci-Fi']",Apr,Spring,1358800177,0,5736040139,Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan, Jake Lacy,Ryan Engle, Carlton Cuse,Brad Peyton,,Il buongiorno del mattino,"Comedy, Drama, Romance",60040976,40000000,150.10244,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Canopy,2013,2014-04-24,"Adventure, Drama, Thriller",84,"Australia, Singapore","English, Japanese, Hokkien, Mandarin",Aaron Wilson,Aaron Wilson,4.9,1019870,8462,64,PG-13,"Khan Chittenden, Mo Tzuyi, Edwina Wren, Robert Menzies, Yoshi Yamamoto, Ryoichi Uchikoshi, Masaki Sato",Adventure,"['Adventure', 'Drama', 'Thriller']",Apr,Spring,8462,0,8462,Khan Chittenden, Mo Tzuyi, Edwina Wren, Robert Menzies, Yoshi Yamamoto,Aaron Wilson,,Aaron Wilson,,Knockout - Resa dei conti,"Action, Drama, Thriller",34513760,23000000,150.05982608695652,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gli stagisti,2013,2013-08-01,Comedy,119,USA,"English, Tagalog, Cantonese, Mandarin, Spanish",Shawn Levy,"Vince Vaughn, Jared Stern",6.3,58000000,93492844,42,PG-13,"Owen Wilson, Joanna Garcia, Vince Vaughn, Aasif Mandvi, Max Minghella, Josh Gad, Tiya Sircar, Rose Byrne, Josh Brener, Tobit Raphael, Will Ferrell, Jessica Szohr",Comedy,['Comedy'],Aug,Summer,949526187,0,14699910437,Owen Wilson, Joanna Garcia, Vince Vaughn, Aasif Mandvi, Max Minghella,Vince Vaughn, Jared Stern,Shawn Levy,,Faster,"Action, Crime, Drama",35626958,24000000,148.44565833333334,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Le origini del male,2014,2014-07-02,"Horror, Mystery, Thriller",98,UK,English,John Pogue,"Craig Rosenberg, Oren Moverman",5.1,200000,17835162,41,PG-13,"Jared Harris, Sam Claflin, Erin Richards, Rory Fleck Byrne, Olivia Cooke, Laurie Calvert, Aldo Maland, Max Pirkis, Tracy Ray, Richard Cunningham, Eileen Nicholas, Rebecca Scott, Ben Holden",Horror,"['Horror', 'Mystery', 'Thriller']",Jul,Summer,17835162,0,17835162,Jared Harris, Sam Claflin, Erin Richards, Rory Fleck Byrne, Olivia Cooke,Craig Rosenberg, Oren Moverman,John Pogue,,Chi � senza colpa,"Crime, Drama, Thriller",18658381,12600000,148.0823888888889,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Nightlight,2015,2015-03-27,"Horror, Thriller",85,USA,English,"Scott Beck, Bryan Woods","Scott Beck, Bryan Woods",4.4,2000000,77567,27,R,"Shelby Young, Chloe Bridges, Carter Jenkins, Mitch Hewer, Taylor Ashley Murphy",Horror,"['Horror', 'Thriller']",Mar,Spring,2311545,0,77567,Shelby Young, Chloe Bridges, Carter Jenkins, Mitch Hewer, Taylor Ashley Murphy,Scott Beck, Bryan Woods,Scott Beck, Bryan Woods,L'amore criminale,"Drama, Thriller",17768012,12000000,148.06676666666667,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Valerian e la citt dei mille pianeti,2017,2017-09-21,"Action, Adventure, Fantasy",136,"France, China, Belgium, Germany, United Arab Emirates, USA, Canada, New Zealand, Singapore, UK, Thailand","English, French",Luc Besson,"Pierre Christin, Jean-Claude M�_i�_es",6.5,177200000,225874228,51,PG-13,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke, Herbie Hancock, Kris Wu, Rutger Hauer",Action,"['Action', 'Adventure', 'Fantasy']",Sep,Fall,794783617,0,1708831102,Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke,Pierre Christin, Jean-Claude M�_i�_es,Luc Besson,,Il figlio di Babbo Natale,"Animation, Adventure, Comedy",147419472,100000000,147.419472,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
