duration,avg_vote,budget,worldwide_gross_income,metascore,director_power,book_label,production_power,worldwide_gross_income,budget,ROI,actor_power in oscar,writer_power in oscar,director_power in oscar,G,NC17,PG,PG-13,R,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Music,Mystery,Romance,Sci-Fi,Thriller,Fall,Spring,Summer,Winter
107,4.8,25000000,21500813,25,118732233,1,32604247,549368315,50000000,1098.7366299999999,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
88,6.2,4000000,1874460,50,59404120,0,1874460,216197492,20000000,1080.98746,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,6.6,3000000,4313829,78,29602701,0,1122795520,962102237,90000000,1069.0024855555557,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
133,5.8,60000000,204594016,50,204594016,0,14480294208,160192031,15000000,1067.9468733333333,1.0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,5.9,30000000,108609310,42,108609310,0,18598370331,10656155,1000000,1065.6155,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,6.4,15000000,57824674,51,204486651,0,279853723,126636097,12000000,1055.3008083333334,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,5.1,70000000,21755418,25,21755418,0,21755418,137056262,13000000,1054.2789384615385,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,6.6,23000000,79799880,35,79799880,0,198604880,104438188,10000000,1044.3818800000001,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,6.1,19000000,49843011,52,164344310,0,49843011,208314186,20000000,1041.5709299999999,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,6.5,30000000,79628830,50,79628830,0,5486083928,102952888,10000000,1029.52888,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
